Rk,Player,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Column1,Column2,,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
57,Pat Freiermuth,226,PIT,TE,26,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,,,103,168.3,173.3,135.8,18,9,57
127,Michael Pittman Jr.,62,IND,WR,27,16,14,0,0,0,0,0,0,0,,0,111,69,808,11.71,3,1,1,3,,,97,165.8,169.8,131.3,,46,
116,George Pickens,55,PIT,WR,23,14,12,0,0,0,0,0,2,-6,-3,0,103,59,900,15.25,3,1,1,3,,,105,164.4,168.4,134.9,,41,
87,Anthony Richardson,164,IND,QB,22,11,11,126,264,1814,8,12,86,499,5.8,6,1,1,-1,-1,0,9,3,6,1,,162,163.4,184.4,174.9,,25,
44,Tucker Kraft,219,GNB,TE,24,17,17,0,0,0,0,0,3,6,2,0,70,50,707,14.14,7,1,1,7,1,,113,163.3,167.3,138.3,27,7,44
104,Alec Pierce,185,IND,WR,24,16,13,0,0,0,0,0,0,0,,0,69,37,824,22.27,7,0,0,7,,,124,161.4,164.4,142.9,,35,
94,Brian Robinson Jr.,71,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,,,140,159.8,167.8,149.8,,28,
115,Javonte Williams,100,DEN,RB,24,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,4,,,106,157.9,165.9,131.9,,32,
97,Kareem Hunt,122,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,,,132,155.4,161.4,143.9,,30,
119,Deebo Samuel,21,SFO,WR,28,15,15,0,0,0,0,0,42,136,3.24,1,81,51,670,13.14,3,2,1,4,,,103,153.6,160.6,128.1,,44,
120,Jalen Tolbert,253,DAL,WR,25,17,15,0,0,0,0,0,0,0,,0,79,49,610,12.45,7,0,0,7,,,103,152,155,127.5,,43,
88,Derek Carr,80,NOR,QB,33,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,1,,1,151,150.9,158.9,155.9,,26,
135,Jaylen Waddle,103,MIA,WR,26,15,15,0,0,0,0,0,4,12,3,0,83,58,744,12.83,2,0,0,2,2,,92,149.6,152.6,120.6,,48,
148,David Njoku,30,CLE,TE,28,11,11,0,0,0,0,0,0,0,,0,97,64,505,7.89,5,0,0,5,2,,85,148.5,151.5,116.5,,11,
155,Demario Douglas,200,NWE,WR,24,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,3,,,82,147.7,150.7,114.7,,62,
137,DeAndre Hopkins,49,2TM,WR,32,16,8,0,0,0,0,0,0,0,,0,80,56,610,10.89,5,1,0,5,,,91,147,150,119,,50,
165,Hunter Henry,151,NWE,TE,30,16,16,0,0,0,0,0,0,0,,0,97,66,674,10.21,2,0,0,2,,,79,145.4,148.4,112.4,,15,
91,Trevor Lawrence,76,JAX,QB,25,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,3,,3,145,145.2,159.2,152.2,,27,
139,Rome Odunze,0,CHI,WR,22,17,12,0,0,0,0,0,3,15,5,0,101,54,734,13.59,3,2,1,3,,,91,144.9,148.9,117.9,,51,
169,Mike Gesicki,258,CIN,TE,29,17,3,0,0,0,0,0,0,0,,0,83,65,665,10.23,2,1,1,2,,,77,141.5,145.5,109,,17,
157,Cade Otton,171,TAM,TE,25,14,14,0,0,0,0,0,1,-4,-4,0,87,59,600,10.17,4,2,1,4,,,82,140.6,144.6,111.1,,14,
167,Ray-Ray McCloud,352,ATL,WR,28,17,13,0,0,0,0,0,10,79,7.9,0,87,62,686,11.06,1,4,2,1,,,79,140.5,145.5,109.5,,65,
141,Tank Dell,111,HOU,WR,25,14,10,0,0,0,0,0,9,43,4.78,0,81,51,667,13.08,3,0,0,3,,,89,140,143,114.5,,54,
134,Adam Thielen,102,CAR,WR,34,10,10,0,0,0,0,0,0,0,,0,62,48,615,12.81,5,0,0,5,,,92,139.5,142.5,115.5,,49,
143,Chris Godwin,104,TAM,WR,28,7,7,0,0,0,0,0,1,2,2,0,62,50,576,11.52,5,1,0,5,,,88,137.8,140.8,112.8,,56,
121,Alexander Mattison,123,LVR,RB,26,14,7,0,0,0,0,0,132,420,3.18,4,48,36,294,8.17,1,1,1,5,1,,101,137.4,144.4,119.4,,34,
118,Nick Westbrook-Ikhine,203,TEN,WR,27,17,9,0,0,0,0,0,0,0,,0,60,32,497,15.53,9,0,0,9,,,104,135.7,138.7,119.7,,42,
124,Jalen McMillan,0,TAM,WR,23,13,12,0,0,0,0,0,4,43,10.75,0,58,37,461,12.46,8,0,0,8,,,98,135.4,138.4,116.9,,45,
95,Daniel Jones,201,NYG,QB,27,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,2,,,135,135.3,150.3,142.3,,28,
126,Jerome Ford,64,CLE,RB,25,14,6,0,0,0,0,0,104,565,5.43,3,43,37,225,6.08,0,0,0,3,,,97,134,140,115.5,,37,
125,Austin Ekeler,99,WAS,RB,29,12,6,0,0,0,0,0,77,367,4.77,4,41,35,366,10.46,0,3,0,4,,,97,132.3,138.3,114.8,,36,
144,Romeo Doubs,114,GNB,WR,24,13,12,0,0,0,0,0,0,0,,0,72,46,601,13.07,4,0,0,4,1,,86,132.1,135.1,109.1,,57,
151,Kyle Pitts,142,ATL,TE,24,17,15,0,0,0,0,0,0,0,,0,74,47,602,12.81,4,0,0,4,,,84,131.2,134.2,107.7,,12,
98,Jameis Winston,393,CLE,QB,30,12,7,181,296,2121,13,12,25,83,3.32,1,0,0,0,,0,5,2,1,,4,131,131.1,148.1,143.1,,29,
136,Travis Etienne,12,JAX,RB,25,15,15,0,0,0,0,0,150,558,3.72,2,52,39,254,6.51,0,1,1,2,,,91,130.2,137.2,110.7,,39,
138,Marvin Mims,0,DEN,WR,22,17,2,0,0,0,0,0,13,42,3.23,0,52,39,503,12.9,6,1,0,6,,,91,129.5,132.5,110,,52,
158,Tre Tucker,212,LVR,WR,23,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,4,,,82,129.3,132.3,105.8,,61,
105,Tank Bigsby,327,JAX,RB,23,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,7,,,122,129,133,125.5,,31,
147,Justice Hill,144,BAL,RB,27,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,4,,,85,127.1,133.1,106.1,,42,
