Rk,Previous Rank,Age,FantPos,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,PPR,PosRank
145,98,26,0,15,0,0,0,0,0,0,120,511,4.26,1,47,38,310,8.16,0,2,1,1,124.1,40
146,326,31,0,16,3,0,0,0,0,0,66,311,4.71,2,47,40,261,6.53,3,2,1,5,125.2,41
147,144,27,0,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,4,127.1,42
148,30,28,1,11,11,0,0,0,0,0,0,0,,0,97,64,505,7.89,5,0,0,5,148.5,11
149,402,25,0,17,0,0,0,0,0,0,103,502,4.87,4,14,11,48,4.36,1,0,0,5,96,43
150,259,25,1,17,8,0,0,0,0,0,0,0,,0,61,36,479,13.31,6,0,0,6,119.9,58
151,142,24,1,17,15,0,0,0,0,0,0,0,,0,74,47,602,12.81,4,0,0,4,131.2,12
152,126,23,0,12,1,0,0,0,0,0,84,312,3.71,4,35,30,224,7.47,1,1,0,5,113.6,44
153,257,25,1,17,8,0,0,0,0,0,0,0,,0,58,36,548,15.22,4,1,1,5,118.8,59
154,0,21,1,13,12,0,0,0,0,0,1,9,9,0,57,29,556,19.17,4,0,0,4,111.5,60
155,200,24,1,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,3,147.7,62
156,169,24,1,16,9,0,0,0,0,0,0,0,,0,58,42,477,11.36,6,1,1,6,123.7,13
157,171,25,1,14,14,0,0,0,0,0,1,-4,-4,0,87,59,600,10.17,4,2,1,4,140.6,14
158,212,23,1,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,4,129.3,61
159,149,26,0,17,3,0,0,0,0,0,120,538,4.48,1,29,23,206,8.96,0,2,0,1,103.4,45
160,278,28,1,8,5,107,181,1071,6,5,18,133,7.39,2,0,0,0,,0,5,2,2,80.1,39
161,255,25,0,17,2,0,0,0,0,0,104,444,4.27,2,18,14,68,4.86,3,1,1,5,93.2,46
162,481,22,1,15,13,0,0,0,0,0,0,0,,0,68,43,589,13.7,3,0,0,3,121.9,63
163,42,30,1,14,10,0,0,0,0,0,0,0,,0,85,44,547,12.43,4,0,0,4,122.7,64
164,0,24,0,16,3,0,0,0,0,0,84,420,5,4,16,15,152,10.13,0,3,1,4,94.2,47
165,151,30,1,16,16,0,0,0,0,0,0,0,,0,97,66,674,10.21,2,0,0,2,145.4,15
166,41,34,1,8,8,2,4,21,0,1,39,278,7.13,6,31,23,187,8.13,0,1,1,6,102.3,16
167,352,28,1,17,13,0,0,0,0,0,10,79,7.9,0,87,62,686,11.06,1,4,2,1,140.5,65
168,154,24,1,16,13,0,0,0,0,0,1,7,7,0,71,47,548,11.66,4,1,1,4,124.5,66
169,258,29,1,17,3,0,0,0,0,0,0,0,,0,83,65,665,10.23,2,1,1,2,141.5,17
170,140,29,1,7,7,137,216,1148,5,3,31,148,4.77,1,0,0,0,,0,5,3,1,76.7,40
171,0,23,1,16,13,0,0,0,0,0,6,24,4,0,84,49,497,10.14,4,0,0,4,125.1,68
172,96,27,0,15,5,0,0,0,0,0,113,437,3.87,4,24,21,119,5.67,0,2,2,4,96.6,48
173,166,25,1,15,15,0,0,0,0,0,4,23,5.75,0,53,29,620,21.38,2,1,1,2,105.3,67
174,29,31,1,8,8,1,1,13,0,0,3,8,2.67,1,64,47,496,10.55,3,0,0,4,121.9,70
175,471,25,1,17,7,0,0,0,0,0,3,-4,-1.33,0,42,28,414,14.79,6,1,1,6,103,69
176,305,27,0,17,1,0,0,0,0,0,41,213,5.2,1,25,18,284,15.78,3,0,0,4,91.7,49
177,230,25,1,17,10,0,0,0,0,0,1,-4,-4,0,49,40,437,10.93,5,0,0,5,113.3,19
178,191,28,1,17,5,0,0,0,0,0,0,0,,0,66,50,548,10.96,3,2,0,3,122.8,20
179,46,25,1,17,16,0,0,0,0,0,0,0,,0,55,47,474,10.09,4,0,0,4,120.4,18
180,157,24,0,16,5,0,0,0,0,0,113,496,4.39,1,27,24,76,3.17,2,1,1,3,97.2,50
181,221,28,1,17,2,0,0,0,0,0,16,92,5.75,0,52,31,420,13.55,2,3,1,4,104.2,71
182,107,32,1,17,14,0,0,0,0,0,0,0,,0,74,49,600,12.24,2,0,0,2,121,72
183,145,23,1,17,5,0,0,0,0,0,0,0,,0,76,39,415,10.64,5,0,0,5,110.5,73
184,187,29,1,16,15,0,0,0,0,0,1,0,0,0,72,51,449,8.8,4,0,0,4,121.9,22
185,309,27,1,17,17,0,0,0,0,0,0,0,,0,43,32,413,12.91,5,0,0,5,103.3,21
186,128,27,1,16,13,0,0,0,0,0,2,17,8.5,0,71,39,573,14.69,2,1,0,2,110,74
187,303,31,1,17,13,0,0,0,0,0,0,0,,0,50,31,378,12.19,5,0,0,5,98.8,76
188,174,25,1,15,7,0,0,0,0,0,0,0,,0,65,39,584,14.97,1,0,0,1,107.4,75
189,0,24,1,7,6,130,228,1317,4,5,18,146,8.11,0,0,0,0,,0,5,3,0,67.3,41
190,285,27,1,17,6,0,0,0,0,0,1,8,8,0,64,45,506,11.24,3,3,1,3,112.4,77
191,0,20,0,17,2,0,0,0,0,0,92,334,3.63,2,27,19,148,7.79,1,0,0,3,85.2,51
192,261,30,1,14,8,0,0,0,0,0,1,4,4,0,44,19,411,21.63,4,0,0,4,84.5,78
193,0,27,1,13,7,0,0,0,0,0,0,0,,0,55,41,475,11.59,3,0,0,3,106.5,79
194,67,28,1,17,13,0,0,0,0,0,0,0,,0,85,53,532,10.04,2,0,0,2,118.2,23
195,325,22,1,17,7,0,0,0,0,0,0,0,,0,51,32,390,12.19,3,2,0,4,97,80
196,322,30,1,17,8,0,0,0,0,0,0,0,,0,59,45,476,10.58,3,2,1,3,108.6,24
197,0,24,1,11,4,0,1,0,0,0,3,45,15,0,46,31,400,12.9,3,0,0,3,93.5,81
198,152,29,1,10,10,0,0,0,0,0,0,0,,0,52,42,496,11.81,2,2,0,2,103.6,25
199,198,25,1,17,11,0,0,0,0,0,1,17,17,0,70,52,479,9.21,2,2,1,2,113.6,26
200,0,23,1,11,4,1,1,19,0,0,0,0,,0,46,32,478,14.94,2,0,0,2,92.6,82
201,53,29,0,11,6,0,0,0,0,0,101,365,3.61,4,5,3,6,2,0,0,0,4,64.1,53
202,294,26,1,5,5,86,133,829,3,3,26,135,5.19,2,0,0,0,,0,6,2,2,60.7,42
203,176,23,0,14,0,0,0,0,0,0,55,150,2.73,6,20,16,104,6.5,0,0,0,6,77.4,52
204,319,28,1,15,8,0,0,0,0,0,0,0,,0,64,50,481,9.62,2,0,0,2,110.1,27
205,163,24,1,17,13,0,0,0,0,0,1,1,1,0,102,61,538,8.82,1,0,0,1,120.9,83
206,116,26,1,6,5,0,0,0,0,0,6,29,4.83,0,41,20,349,17.45,3,1,1,4,79.8,84
207,476,23,0,17,0,0,0,0,0,0,50,308,6.16,2,12,9,109,12.11,1,1,0,3,68.7,54
208,313,37,1,6,5,106,160,989,7,6,11,34,3.09,0,0,0,0,,0,2,0,0,59,43
209,95,27,0,8,6,0,0,0,0,0,74,242,3.27,2,27,23,187,8.13,1,2,1,3,81.9,55
210,0,31,1,16,9,0,0,0,0,0,0,0,,0,44,33,394,11.94,3,0,0,3,92.4,85
211,340,29,0,8,8,0,0,0,0,0,102,332,3.25,3,11,5,31,6.2,1,1,1,4,63.3,56
212,160,25,1,17,5,0,1,0,0,0,2,7,3.5,0,62,42,562,13.38,0,0,0,0,98.9,86
213,153,25,1,13,9,0,0,0,0,0,0,0,,0,75,44,448,10.18,2,1,0,2,100.8,28
214,236,27,1,14,9,0,0,0,0,0,0,0,,0,64,48,500,10.42,1,0,0,1,104,29
215,124,28,1,12,8,0,0,0,0,0,2,6,3,0,67,33,375,11.36,3,0,0,3,89.1,87
216,587,29,0,17,1,0,0,0,0,0,55,261,4.75,4,12,9,27,3,0,0,0,4,63.8,57
217,235,26,1,17,4,0,0,0,0,0,5,31,6.2,0,50,37,342,9.24,3,3,1,3,90.3,88
218,365,29,1,17,5,0,0,0,0,0,1,0,0,0,57,32,351,10.97,3,0,0,3,85.1,89
219,170,29,0,17,0,0,0,0,0,0,20,92,4.6,1,35,28,322,11.5,1,0,0,2,81.4,58
220,194,27,0,11,2,0,0,0,0,0,55,205,3.73,2,30,24,148,6.17,1,1,0,3,77.3,59
221,6,32,0,13,1,0,0,0,0,0,85,278,3.27,2,23,19,161,8.47,0,2,2,2,70.9,60
222,477,25,1,7,2,40,54,550,3,0,20,138,6.9,1,0,0,0,,0,1,1,1,51.8,44
223,379,32,1,17,6,0,0,0,0,0,0,0,,0,58,40,390,9.75,2,1,0,2,91,31
224,173,28,1,11,9,0,0,0,0,0,0,0,,0,56,35,453,12.94,1,0,0,1,86.3,91
225,412,24,1,17,10,0,0,0,0,0,0,0,,0,53,40,411,10.28,2,1,1,2,91.1,30
226,324,24,1,11,6,0,0,0,0,0,1,-5,-5,0,49,29,339,11.69,3,1,1,3,80.4,90
227,0,22,1,17,6,0,0,0,0,0,0,0,,0,38,30,245,8.17,4,0,0,4,78.5,32
228,411,31,1,14,5,0,0,0,0,0,8,69,8.63,0,51,32,334,10.44,1,0,0,1,80.3,92
229,178,25,0,17,1,0,0,0,0,0,75,290,3.87,1,22,16,116,7.25,0,0,0,1,62.6,61
230,106,29,0,15,2,0,0,0,0,0,74,226,3.05,3,15,12,69,5.75,0,1,1,3,57.5,62
231,28,27,1,10,9,0,0,0,0,0,0,0,,0,62,41,455,11.1,0,0,0,0,86.5,33
232,387,31,1,3,0,34,44,364,4,0,18,92,5.11,1,0,0,0,,0,0,0,1,45.8,45
233,316,32,1,8,5,95,161,826,2,1,15,62,4.13,0,0,0,0,,0,4,1,0,45.2,46
234,48,25,1,14,14,0,0,0,0,0,0,0,,0,86,59,494,8.37,0,4,2,0,104.4,34
235,57,24,1,8,8,0,0,0,0,0,1,7,7,0,44,32,400,12.5,1,1,1,1,76.7,93
236,61,25,0,7,6,0,0,0,0,0,83,310,3.73,1,16,12,79,6.58,0,0,0,1,56.9,63
237,110,31,1,10,9,0,0,0,0,0,3,-3,-1,0,54,26,259,9.96,3,0,0,3,69.6,95
238,0,21,0,13,1,0,0,0,0,0,76,310,4.08,2,5,5,27,5.4,0,2,1,2,48.7,64
239,134,28,1,8,7,0,0,0,0,0,0,0,,0,47,27,379,14.04,1,0,0,1,70.9,94
240,273,27,1,15,12,0,0,0,0,0,0,0,,0,28,22,258,11.73,3,0,0,3,65.8,35
241,0,24,1,5,3,61,105,775,3,3,7,11,1.57,1,0,0,0,,0,2,0,1,44.1,47
242,36,30,1,9,9,0,0,0,0,0,0,0,,0,64,47,365,7.77,1,1,1,1,89.5,36
243,172,24,0,11,0,0,0,0,0,0,40,293,7.33,2,4,2,2,1,0,1,0,2,43.5,65
244,0,21,0,13,1,0,0,0,0,0,63,291,4.62,1,6,6,59,9.83,0,1,0,1,47,66
245,72,24,1,4,4,0,0,0,0,0,1,1,1,0,29,24,288,12,2,0,0,2,64.9,96
246,190,28,1,17,7,0,0,0,0,0,0,0,,0,32,22,289,13.14,2,0,0,2,62.9,97
247,334,28,1,17,12,0,0,0,0,0,0,0,,0,40,24,276,11.5,2,0,0,2,63.6,98
248,189,30,1,12,2,0,0,0,0,0,2,0,0,0,22,17,215,12.65,2,0,0,3,56.5,99
249,0,21,1,16,8,0,0,0,0,0,0,0,,0,43,33,342,10.36,1,1,0,1,73.2,37
