Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR,Rank,Player
24,57,1,8,8,0,0,0,0,0,1,7,0,44,32,400,1,1,76.7,224,Chris Olave
21,,3,16,8,0,0,0,0,0,0,0,0,43,33,342,1,1,73.2,225,Ja'Tavion Sanders
32,6,0,13,1,0,0,0,0,0,85,278,2,23,19,161,0,2,70.9,226,Raheem Mostert
28,134,1,8,7,0,0,0,0,0,0,0,0,47,27,379,1,1,70.9,227,Christian Kirk
31,110,1,10,9,0,0,0,0,0,3,-3,0,54,26,259,3,3,69.6,228,Brandin Cooks
23,476,0,17,0,0,0,0,0,0,50,308,2,12,9,109,1,3,68.7,229,Sean Tucker
23,,3,12,11,0,0,0,0,0,0,0,0,43,29,331,1,1,68.1,230,Theo Johnson
25,317,1,16,3,0,1,0,0,0,3,26,0,40,30,308,1,1,67.4,231,Dyami Brown
24,,2,7,6,130,228,1317,4,5,18,146,0,0,0,0,0,0,67.3,232,Spencer Rattler
21,,1,16,6,0,0,0,0,0,2,8,0,53,28,263,2,2,67.1,233,Troy Franklin
27,273,3,15,12,0,0,0,0,0,0,0,0,28,22,258,3,3,65.8,234,Josh Oliver
25,251,3,17,9,0,0,0,0,0,0,0,0,49,30,294,1,1,65.4,235,Colby Parkinson
29,184,1,12,9,0,1,0,0,0,1,6,0,38,28,305,1,1,65.1,236,Kendrick Bourne
24,72,1,4,4,0,0,0,0,0,1,1,0,29,24,288,2,2,64.9,237,Rashee Rice
26,265,1,17,7,0,0,0,0,0,0,0,0,45,31,293,1,1,64.3,238,Lil'Jordan Humphrey
29,53,0,11,6,0,0,0,0,0,101,365,4,5,3,6,0,4,64.1,239,Gus Edwards
29,587,0,17,1,0,0,0,0,0,55,261,4,12,9,27,0,4,63.8,240,Jeremy McNichols
28,131,1,14,2,0,0,0,0,0,5,14,0,46,31,253,1,1,63.7,241,Curtis Samuel
28,334,1,17,12,0,0,0,0,0,0,0,0,40,24,276,2,2,63.6,242,Van Jefferson
29,340,0,8,8,0,0,0,0,0,102,332,3,11,5,31,1,4,63.3,243,Nick Chubb
28,190,1,17,7,0,0,0,0,0,0,0,0,32,22,289,2,2,62.9,244,Justin Watson
25,178,0,17,1,0,0,0,0,0,75,290,1,22,16,116,0,1,62.6,245,Kenneth Gainwell
26,25,1,7,7,0,0,0,0,0,0,0,0,47,25,374,0,0,62.4,246,Brandon Aiyuk
26,432,1,15,2,0,0,0,0,0,0,0,0,41,26,291,1,1,61.1,247,Tyler Johnson
25,369,3,17,4,0,0,0,0,0,0,0,0,37,28,248,1,1,60.8,248,Josh Whyle
26,294,2,5,5,86,133,829,3,3,26,135,2,0,0,0,0,2,60.7,249,Tyler Huntley
26,454,3,17,13,0,0,0,0,0,0,0,0,30,24,298,1,1,59.8,250,Grant Calcaterra
28,268,3,16,13,0,0,0,0,0,0,0,0,33,22,311,1,1,59.1,251,Dawson Knox
37,313,2,6,5,106,160,989,7,6,11,34,0,0,0,0,0,0,59,252,Andy Dalton
