Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
27,3,0,0,0,0,0,0,0,0,,0,3,2,18,9,1,0,0,1,8,9.8,619
29,9,0,0,0,0,0,0,16,57,3.56,0,3,3,19,6.33,0,0,0,0,8,10.6,290
23,15,0,0,0,0,0,0,1,7,7,0,6,4,80,20,0,2,1,0,7,10.7,0
30,8,0,0,0,0,0,0,0,0,,0,9,7,66,9.43,0,0,0,0,7,13.6,345
25,2,0,0,0,0,0,0,13,46,3.54,0,5,3,24,8,0,0,0,0,7,10,210
27,17,8,0,0,0,0,0,0,0,,0,17,12,67,5.58,0,0,0,0,7,18.7,356
25,17,0,0,0,0,0,0,14,31,2.21,0,11,10,82,8.2,0,3,2,0,7,17.3,431
31,9,2,0,0,0,0,0,0,0,,0,13,8,73,9.13,0,0,0,0,7,15.3,314
26,8,0,0,0,0,0,0,0,0,,0,2,1,7,7,1,0,0,1,7,7.7,0
27,13,1,0,0,0,0,0,0,0,,0,9,5,69,13.8,0,0,0,0,7,11.9,281
29,17,1,0,0,0,0,0,0,0,,0,10,7,71,10.14,0,1,0,0,7,14.1,246
27,10,1,0,0,0,0,0,0,0,,0,5,5,69,13.8,0,0,0,0,7,11.9,377
24,5,2,0,0,0,0,0,0,0,,0,17,7,65,9.29,0,0,0,0,7,13.5,0
25,1,1,16,31,170,1,2,2,2,1,0,0,0,0,,0,0,0,0,7,7,175
32,3,1,17,30,199,1,2,3,4,1.33,0,0,0,0,,0,2,1,0,6,6.4,0
24,3,0,0,0,0,0,0,11,86,7.82,0,3,3,-2,-0.67,0,1,1,0,6,9.4,0
27,17,6,0,0,0,0,0,0,0,,0,13,8,84,10.5,0,1,1,0,6,14.4,362
32,9,0,0,0,0,0,0,0,0,,0,18,9,55,6.11,0,0,0,0,6,14.5,161
23,16,3,0,0,0,0,0,0,0,,0,19,8,62,7.75,0,0,0,0,6,14.2,249
26,17,2,0,0,0,0,0,0,0,,0,9,7,60,8.57,0,0,0,0,6,13,580
22,5,0,0,0,0,0,0,15,30,2,0,1,1,28,28,0,0,0,0,6,6.8,192
26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,6,6,515
26,12,2,0,0,0,0,0,1,1,1,0,5,5,36,7.2,0,2,2,1,6,10.7,390
25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,1,6,6,311
29,6,0,0,0,0,0,0,13,51,3.92,0,3,1,-2,-2,0,0,0,0,5,5.9,0
21,3,1,0,0,0,0,0,9,22,2.44,0,3,3,23,7.67,0,0,0,0,5,7.5,0
30,15,7,0,0,0,0,0,0,0,,0,12,8,65,8.13,0,1,1,0,5,12.5,298
31,13,0,0,0,0,0,0,0,0,,0,14,9,72,8,0,1,1,0,5,14.2,437
25,7,1,0,0,0,0,0,0,0,,0,5,5,51,10.2,0,0,0,0,5,10.1,458
26,8,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,2,1,1,5,5.5,374
24,7,3,0,0,0,0,0,0,0,,0,10,7,45,6.43,0,0,0,0,5,11.5,238
25,5,1,0,0,0,0,0,0,0,,0,6,2,48,24,0,1,0,0,5,6.8,0
