Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
22,13,0,0,0,0,0,0,39,147,3.77,0,6,4,37,9.25,0,0,0,0,18,22.4,0
30,7,1,0,0,0,0,0,0,0,,0,21,12,181,15.08,0,0,0,0,18,30.1,228
22,6,3,58,109,567,1,5,3,13,4.33,0,0,0,0,,0,1,0,0,18,18,107
27,14,11,0,0,0,0,0,0,0,,0,20,14,114,8.14,1,0,0,1,17,31.4,251
21,16,1,0,0,0,0,0,18,114,6.33,0,13,11,56,5.09,0,0,0,0,17,28,0
24,6,4,0,0,0,0,0,0,0,,0,9,6,114,19,1,0,0,1,17,23.4,0
29,2,1,21,37,225,0,1,5,39,7.8,1,0,0,0,,0,0,0,1,17,16.9,577
30,2,2,50,89,572,0,1,5,-2,-0.4,0,0,0,0,,0,2,2,0,17,16.7,74
27,12,5,0,0,0,0,0,0,0,,0,18,13,109,8.38,1,1,0,1,17,29.9,362
27,4,2,0,0,0,0,0,0,0,,0,9,5,113,22.6,1,0,0,1,17,22.3,0
26,16,7,0,0,0,0,0,0,0,,0,22,17,166,9.76,0,0,0,0,17,33.6,240
39,10,8,0,0,0,0,0,0,0,,0,24,17,173,10.18,0,0,0,0,17,34.3,212
26,6,0,0,0,0,0,0,17,63,3.71,0,15,13,124,9.54,0,1,1,0,17,29.7,101
23,16,6,1,1,6,0,0,1,3,3,0,12,9,90,10,1,0,0,1,16,24.5,0
29,7,1,23,38,225,1,2,20,70,3.5,0,0,0,0,,0,0,0,0,16,16,511
23,11,4,0,0,0,0,0,0,0,,0,14,8,103,12.88,1,0,0,1,16,24.3,0
25,11,1,0,0,0,0,0,0,0,,0,15,10,100,10,1,0,0,1,16,26,376
26,5,0,0,0,0,0,0,0,0,,0,13,9,87,9.67,1,0,0,1,15,23.7,424
27,16,10,0,0,0,0,0,0,0,,0,8,6,90,15,1,0,0,1,15,21,355
25,15,0,0,0,0,0,0,22,81,3.68,0,13,9,64,7.11,0,0,0,0,15,23.5,139
26,16,3,0,0,0,0,0,0,0,,0,14,11,162,14.73,0,2,1,0,14,25.2,340
26,12,6,0,0,0,0,0,0,0,,0,18,12,140,11.67,0,0,0,0,14,26,379
25,11,0,0,0,0,0,0,22,92,4.18,0,7,6,48,8,0,0,0,0,14,20,552
31,15,4,0,0,0,0,0,0,0,,0,13,9,78,8.67,1,0,0,1,14,22.8,308
24,1,1,0,0,0,0,0,10,21,2.1,2,2,2,1,0.5,0,0,0,2,14,16.2,0
25,16,11,0,0,0,0,0,0,0,,0,27,16,142,8.88,0,0,0,0,14,30.2,208
27,16,5,0,0,0,0,0,0,0,,0,11,7,72,10.29,1,0,0,1,13,20.2,536
23,8,2,0,0,0,0,0,0,0,,0,14,11,133,12.09,0,0,0,0,13,24.3,0
26,16,3,0,0,0,0,0,0,0,,0,23,10,125,12.5,0,0,0,0,13,22.5,0
22,6,1,0,0,0,0,0,0,0,,0,10,8,87,10.88,1,1,1,1,13,20.7,0
27,11,3,0,0,0,0,0,0,0,,0,14,6,71,11.83,1,0,0,1,13,19.1,453
37,2,2,35,62,351,0,1,1,7,7,0,0,0,0,,0,1,0,0,13,12.7,27
23,6,0,0,0,0,0,0,24,122,5.08,0,1,1,9,9,0,0,0,0,13,14.1,0
25,11,3,0,0,0,0,0,0,0,,0,11,6,59,9.83,1,0,0,1,12,17.9,448
31,1,0,0,0,0,0,0,1,5,5,0,8,4,56,14,1,0,0,1,12,16.1,9
